id,status,resp_start_ts,resp_last_ts,language,testmode,QS1,QS2,QAGE,QS3,QCOUNTRY,Q1R1,Q1R102,Q1R109,Q1R110,Q1R111,Q1R112,Q1R113,Q1R116,Q1R117,Q2R1,Q2R102,Q2R109,Q2R110,Q2R111,Q2R112,Q2R113,Q2R116,Q2R117,Q3R1,Q3R102,Q3R109,Q3R110,Q3R111,Q3R112,Q3R113,Q3R116,Q3R117,Q3RANK1,Q3RANK2,Q3RANK3,Q4R1,Q4R102,Q4R109,Q4R110,Q4R111,Q4R112,Q4R113,Q4R116,Q4R117,Q5BR1,Q5BR102,Q5BR109,Q5BR110,Q5BR111,Q5BR112,Q5BR113,Q5BR116,Q5BR117,Q5R1,Q5R102,Q5R109,Q5R110,Q5R111,Q5R112,Q5R113,Q5R116,Q5R117,Q6R1,Q6R102,Q6R109,Q6R110,Q6R111,Q6R112,Q6R113,Q6R116,Q6R117,Q6BR1,Q6BR102,Q6BR109,Q6BR110,Q6BR111,Q6BR112,Q6BR113,Q6BR116,Q6BR117,Q7R1C1,Q7R2C1,Q7R3C1,Q7R4C1,Q7R5C1,Q7R6C1,Q7R7C1,Q7R8C1,Q7R9C1,Q7R10C1,Q7R11C1,Q7R12C1,Q7R13C1,Q7R14C1,Q7R15C1,Q7R16C1,Q7R17C1,Q7R18C1,Q7R1C102,Q7R2C102,Q7R3C102,Q7R4C102,Q7R5C102,Q7R6C102,Q7R7C102,Q7R8C102,Q7R9C102,Q7R10C102,Q7R11C102,Q7R12C102,Q7R13C102,Q7R14C102,Q7R15C102,Q7R16C102,Q7R17C102,Q7R18C102,Q7R1C109,Q7R2C109,Q7R3C109,Q7R4C109,Q7R5C109,Q7R6C109,Q7R7C109,Q7R8C109,Q7R9C109,Q7R10C109,Q7R11C109,Q7R12C109,Q7R13C109,Q7R14C109,Q7R15C109,Q7R16C109,Q7R17C109,Q7R18C109,Q7R1C110,Q7R2C110,Q7R3C110,Q7R4C110,Q7R5C110,Q7R6C110,Q7R7C110,Q7R8C110,Q7R9C110,Q7R10C110,Q7R11C110,Q7R12C110,Q7R13C110,Q7R14C110,Q7R15C110,Q7R16C110,Q7R17C110,Q7R18C110,Q7R1C111,Q7R2C111,Q7R3C111,Q7R4C111,Q7R5C111,Q7R6C111,Q7R7C111,Q7R8C111,Q7R9C111,Q7R10C111,Q7R11C111,Q7R12C111,Q7R13C111,Q7R14C111,Q7R15C111,Q7R16C111,Q7R17C111,Q7R18C111,Q7R1C112,Q7R2C112,Q7R3C112,Q7R4C112,Q7R5C112,Q7R6C112,Q7R7C112,Q7R8C112,Q7R9C112,Q7R10C112,Q7R11C112,Q7R12C112,Q7R13C112,Q7R14C112,Q7R15C112,Q7R16C112,Q7R17C112,Q7R18C112,Q7R1C113,Q7R2C113,Q7R3C113,Q7R4C113,Q7R5C113,Q7R6C113,Q7R7C113,Q7R8C113,Q7R9C113,Q7R10C113,Q7R11C113,Q7R12C113,Q7R13C113,Q7R14C113,Q7R15C113,Q7R16C113,Q7R17C113,Q7R18C113,Q7R1C116,Q7R2C116,Q7R3C116,Q7R4C116,Q7R5C116,Q7R6C116,Q7R7C116,Q7R8C116,Q7R9C116,Q7R10C116,Q7R11C116,Q7R12C116,Q7R13C116,Q7R14C116,Q7R15C116,Q7R16C116,Q7R17C116,Q7R18C116,Q7R1C117,Q7R2C117,Q7R3C117,Q7R4C117,Q7R5C117,Q7R6C117,Q7R7C117,Q7R8C117,Q7R9C117,Q7R10C117,Q7R11C117,Q7R12C117,Q7R13C117,Q7R14C117,Q7R15C117,Q7R16C117,Q7R17C117,Q7R18C117,QMD_TRACK,QMD_1M,QMD_1L,QMD_2M,QMD_2L,QMD_3M,QMD_3L,QMD_4M,QMD_4L,QMD_5M,QMD_5L,QMD_6M,QMD_6L,QMD_7M,QMD_7L,QMD_8M,QMD_8L,QMD_9M,QMD_9L,QMD_10M,QMD_10L,QMD_11M,QMD_11L,QMD_UTIL_1,QMD_UTIL_2,QMD_UTIL_3,QMD_UTIL_4,QMD_UTIL_5,QMD_UTIL_6,QMD_UTIL_7,QMD_UTIL_8,QMD_UTIL_9,QMD_UTIL_10,QMD_UTIL_11,QMD_UTIL_12,QMD_UTIL_13,QMD_UTIL_14,QMD_UTIL_15,QMD_UTIL_16,QMD_UTIL_17,QMD_UTIL_18,QMD_RLH,QMD_PCERT,device_type,mobile,browser,browser_version,os,win_version,screensize,timezone,fback,fback_opts.1,fback_opts.2,fback_opts.3,fback_opts.4,fback_opts.5,fback_opts.6,fback_opts.7,fback_val,last_page_id,elapsed,disp.QS1,disp.QAGE,disp.QCTYGEN2,disp.T1,disp.QFAM,oq.QAGE,oq.QS3_QUOTA,oq.QCTYGEN2
ERCQSM4WNEPV5,C,,1969-12-31 16:00:00,,,6,67,7,1,101,2,3,6,1,1,6,6,3,3,3,3,6,,6,6,6,2,4,,,1,,,3,2,,,109,113,112,4,2,8,,3,7,8,3,6,,,6,,3,6,6,,,2,2,6,,4,5,6,3,5,2,2,6,,2,5,6,2,4,2,2,6,,2,6,6,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,6,4,6,6,4,5,4,5,6,4,4,4,4,4,,,,,,,,,,,,,,,,,,,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,1,14,7,11,12,1,3,5,15,11,17,2,17,11,15,4,8,4,9,13,6,2,17,6.183094426,7.337159185,7.61633415,5.077326415,7.099332226,4.543959248,3.200914293,6.510563888,4.594787758,4.084843952,5.870193366,4.149509882,5.967888215,6.97605212,5.236259981,4.343732745,5.260801985,5.947246165,0.2190531572,0.05566488784,,,,,,,,,,,,,,,,,,,,,,,,,,,
300418430,C,,1969-12-31 16:00:00,,,6,62,7,2,502,4,3,6,1,4,3,6,3,6,5,5,5,,,5,5,5,5,,,,,,2,,3,1,117,112,116,5,5,5,,,5,5,5,5,4,,4,,,,4,,4,3,3,3,,,3,3,3,3,5,5,5,,,5,5,5,5,4,4,4,,,4,4,4,4,5,5,6,4,4,5,5,4,4,4,5,4,5,4,5,3,4,4,5,5,6,4,4,6,5,4,5,4,5,4,5,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,4,4,6,5,4,5,4,5,4,5,4,5,3,4,4,5,5,6,4,4,5,5,4,4,4,5,4,5,4,5,3,4,4,,,,,,,,,,,,,,,,,,,7,13,16,2,12,13,6,2,17,15,5,2,7,14,12,9,7,18,6,8,6,14,7,5.008522278,7.348861244,4.943318206,5.878804787,6.970236596,4.117734932,3.495189182,8.305857054,4.318937375,5.564139039,4.695583013,4.706870866,6.339630511,6.816137232,6.979921225,4.401259274,4.065178185,6.043818999,0.2528255519,0.1442032026,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCQSM4WNI4W4,C,,1969-12-31 16:00:00,,,6,23,2,1,101,5,4,6,3,2,5,6,6,6,2,1,6,4,7,5,6,6,7,,,,,1,,,2,3,111,116,117,2,0,9,5,9,8,8,9,9,2,1,7,,7,5,6,6,7,2,1,6,4,6,6,6,6,6,2,1,6,4,6,5,6,6,6,2,1,7,3,7,3,5,6,4,2,2,6,6,2,2,2,6,4,2,4,3,6,4,3,3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,6,4,4,4,4,4,4,4,4,5,4,4,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,6,5,5,5,4,5,6,6,6,6,5,4,6,5,2,2,,,,,,,,,,,,,,,,,,,6,2,6,6,6,6,5,7,6,6,6,7,5,4,5,6,2,3,5,2,17,13,16,11,14,6,17,10,17,3,16,2,16,3,4,10,5,1,9,10,9,5.387087091,7.149185262,5.660580393,5.112524804,6.200771445,4.560866899,4.127802128,5.968801362,6.408626581,5.531714425,4.702854056,4.864029058,7.611213234,5.674868846,5.283973209,3.996227465,5.059187323,6.69968642,0.2084228269,0.02541840899,,,,,,,,,,,,,,,,,,,,,,,,,,,
270011691,C,,1969-12-31 16:00:00,,,6,31,3,1,102,5,3,6,3,5,4,6,4,5,4,4,7,3,7,5,7,5,7,,,1,,3,,2,,,109,113,111,3,7,10,2,10,6,10,7,10,4,,7,,7,4,7,5,7,3,5,7,3,7,5,7,5,7,3,5,6,2,6,3,7,4,6,3,4,6,2,6,3,6,5,6,2,3,3,3,3,3,4,3,2,3,4,4,3,5,3,3,3,7,,,,,,,,,,,,,,,,,,,6,1,6,3,6,6,6,6,6,6,6,7,6,6,7,6,2,1,4,3,3,3,3,3,3,2,2,2,4,3,2,5,3,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,6,3,6,6,6,6,6,6,6,7,6,5,7,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,15,16,9,3,9,8,9,5,16,13,1,2,17,2,18,2,14,3,1,8,1,4.579244719,10.46656932,6.290532874,7.072481547,6.230046947,5.334623258,5.841700516,5.586856401,4.246225756,4.917950837,3.556951655,4.325287423,5.736245243,5.851822587,6.326819434,4.738451817,4.59397042,4.304219246,0.2450477793,0.124194188,,,,,,,,,,,,,,,,,,,,,,,,,,,
130448659,C,,1969-12-31 16:00:00,,,6,67,7,2,206,6,3,5,2,5,6,2,6,4,4,6,5,,3,2,5,4,5,,1,,,,,3,2,,102,116,113,4,6,5,,2,5,5,5,5,3,,5,,2,3,5,4,3,4,6,5,,2,3,5,4,4,3,6,5,,3,4,5,5,4,4,6,4,,3,4,4,4,4,5,1,6,7,4,6,5,5,4,6,5,5,5,5,5,7,1,2,6,1,7,7,6,7,6,6,6,7,7,7,6,5,6,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,7,7,5,6,5,6,6,6,6,5,6,5,5,7,1,1,,,,,,,,,,,,,,,,,,,6,1,7,7,5,6,5,6,6,6,6,6,6,5,5,7,1,1,,,,,,,,,,,,,,,,,,,8,10,17,4,17,2,17,3,9,14,6,1,8,15,16,2,11,5,9,1,9,1,12,5.994233324,7.999298694,5.66448912,4.365390982,7.033176025,4.764654957,6.831822008,5.806396623,3.877254269,4.396907838,4.735658943,4.161052799,6.785534079,5.400879805,5.591866293,5.767366131,4.839358952,5.984659157,0.2252174374,0.07298999944,,,,,,,,,,,,,,,,,,,,,,,,,,,
270436515,C,,1969-12-31 16:00:00,,,6,53,5,1,102,2,4,6,1,6,1,6,6,6,7,7,7,,7,7,7,7,7,,,1,,,3,2,,,109,113,112,10,10,10,,10,10,10,10,10,7,7,7,,7,7,7,7,7,7,7,7,,6,7,7,7,6,7,7,7,,7,7,7,7,7,7,7,7,,7,7,7,7,6,7,2,7,6,7,6,6,7,7,7,6,7,7,6,7,7,1,2,,,,,,,,,,,,,,,,,,,7,2,7,6,7,6,7,7,7,7,7,7,7,6,7,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,7,6,6,6,6,6,7,7,6,7,7,6,7,7,1,2,7,2,7,6,6,6,6,6,7,7,6,6,7,6,7,7,1,2,6,14,16,11,9,15,9,1,5,11,7,13,12,2,9,10,4,8,16,1,16,10,6,4.284501316,6.357190437,5.287392126,6.459234974,4.952111805,5.835322774,5.263918687,6.233218986,4.888585553,6.158007146,4.914426602,4.606238346,6.333032656,6.420234457,6.862902065,4.312972515,5.485700242,5.345009313,0.2105543501,0.03156408175,,,,,,,,,,,,,,,,,,,,,,,,,,,
350108965,C,,1969-12-31 16:00:00,,,6,53,5,1,504,6,5,5,3,5,5,5,5,1,4,6,6,4,6,6,6,7,6,,3,,,,2,,1,,116,112,102,4,7,7,4,7,7,7,10,7,,6,6,,6,7,6,7,6,4,6,6,3,5,6,6,7,6,7,7,7,4,7,7,7,7,7,4,6,6,3,6,6,6,7,6,7,1,6,7,7,7,7,6,6,6,7,6,7,6,7,7,1,3,7,1,6,7,7,7,7,6,6,6,7,6,7,6,7,7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,6,7,7,7,7,6,6,6,7,6,7,6,7,7,1,3,7,1,6,7,7,7,7,6,6,6,7,6,7,6,7,7,1,3,9,2,16,6,11,13,14,2,9,13,16,4,9,6,11,2,14,2,8,5,16,3,14,6.283122213,7.625684891,5.77807792,7.099635885,5.49254628,5.073250796,5.532097145,5.882595849,3.176618759,5.996574476,4.147516967,5.951880376,4.384363326,5.444719076,6.541585214,3.861934481,4.537065214,7.190731131,0.2365951117,0.1028766818,,,,,,,,,,,,,,,,,,,,,,,,,,,
310067386,C,,1969-12-31 16:00:00,,,6,44,4,1,103,5,5,6,4,6,6,6,6,6,5,7,6,5,5,6,6,6,6,,1,,,2,,,3,,102,111,116,9,9,9,9,9,9,8,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,7,5,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,1,5,4,6,7,6,7,6,7,5,6,7,4,6,7,1,1,6,1,5,4,6,7,6,7,6,7,5,6,7,4,6,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,4,6,7,6,7,6,7,5,6,7,4,6,7,1,1,6,1,5,4,6,7,6,7,6,7,5,6,7,4,6,7,1,1,9,2,17,10,9,3,17,4,9,10,16,4,9,13,11,2,8,2,7,12,16,3,15,4.565838037,7.677000054,6.266642084,5.375826131,5.63985622,4.987714995,5.407011269,6.50857736,3.938270095,5.551188086,5.073851609,6.681829654,6.930114012,6.800100886,5.674732645,3.121069896,3.483623794,6.316753172,0.2491021165,0.135900284,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI6486FK67553OQPH9681KC59802GA,C,,1969-12-31 16:00:00,,,6,26,3,2,505,4,3,6,4,4,4,6,4,4,7,7,5,5,6,7,5,7,6,,2,,,,1,,3,,112,102,116,9,9,7,7,8,9,8,9,8,7,,6,,6,7,6,7,6,7,7,6,5,6,7,6,7,6,7,7,6,5,7,7,6,7,7,7,7,5,5,5,7,5,7,6,7,6,5,6,6,6,6,7,6,6,7,7,7,6,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,6,5,5,6,6,5,5,5,5,5,5,6,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,5,6,7,6,6,7,6,6,7,7,6,6,6,6,1,1,7,6,5,6,7,7,7,7,7,7,7,7,7,6,6,7,1,1,,,,,,,,,,,,,,,,,,,10,7,3,5,1,6,1,7,15,10,4,4,6,5,3,1,12,5,13,17,14,8,9,5.315464649,6.611751241,5.250477928,5.770788043,5.52254829,5.447732694,6.512062399,4.440982828,4.277180103,5.824599814,5.284596638,5.032065594,7.599098817,5.250140059,5.933221432,4.852608083,5.948386875,5.126294515,0.1992022175,-0.002746847475,,,,,,,,,,,,,,,,,,,,,,,,,,,
30424588,C,,1969-12-31 16:00:00,,,6,69,7,1,203,5,2,3,1,3,3,6,6,6,6,2,4,,5,6,7,7,6,,,,,,,3,1,2,116,117,113,7,2,6,,5,8,9,9,9,6,,,,,,6,7,6,5,2,5,,4,6,6,7,7,5,2,4,,4,6,6,7,6,4,2,4,,4,5,6,7,6,4,2,5,4,4,5,4,5,5,4,5,4,5,4,5,4,1,5,,,,,,,,,,,,,,,,,,,5,2,5,4,5,5,4,5,5,5,5,5,5,4,5,4,1,5,,,,,,,,,,,,,,,,,,,6,2,5,4,5,5,4,5,6,6,5,6,6,4,5,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,5,4,6,5,4,7,6,7,5,7,6,4,5,4,1,5,4,4,17,18,16,3,9,3,9,12,16,4,6,2,8,2,7,2,7,3,6,10,8,6.610938887,7.594024735,6.815338788,5.293573784,6.531129464,6.264441274,5.412487571,5.625692556,3.867972712,5.580953311,4.37370342,6.390961085,5.795713192,5.968073036,5.870330556,3.331893452,3.756747525,4.916024652,0.2325199215,0.09269788022,,,,,,,,,,,,,,,,,,,,,,,,,,,
